ID,Data,Categoria,Descrição,Valor,Forma de Pagamento,Renda Mensal,Localização
216,2024-01-26,Moradia,Despesa 216 em moradia,288.99,Cartão de Crédito,3500.0,São Paulo
217,2024-05-08,Alimentação,Despesa 217 em alimentação,1442.56,Cartão de Crédito,3500.0,Salvador
218,2024-04-10,Transporte,Despesa 218 em transporte,7.31,Dinheiro,3500.0,Salvador
219,2024-06-28,Transporte,Despesa 219 em transporte,748.67,Dinheiro,3500.0,São Paulo
220,2024-01-13,Transporte,Despesa 220 em transporte,104.11,Cartão de Crédito,3500.0,Belo Horizonte
221,2024-08-23,Entretenimento,Despesa 221 em entretenimento,1294.97,Dinheiro,3500.0,Salvador
222,2024-03-26,Transporte,Despesa 222 em transporte,316.54,Dinheiro,3500.0,Rio de Janeiro
223,2024-09-17,Saúde,Despesa 223 em saúde,1394.65,Transferência,3500.0,Salvador
224,2024-09-04,Moradia,Despesa 224 em moradia,97.58,Dinheiro,3500.0,São Paulo
225,2024-06-21,Moradia,Despesa 225 em moradia,1023.38,Cartão de Crédito,3500.0,Curitiba
226,2024-06-03,Transporte,Despesa 226 em transporte,357.68,Cartão de Crédito,3500.0,São Paulo
227,2024-06-03,Transporte,Despesa 227 em transporte,1353.58,Cartão de Crédito,3500.0,Belo Horizonte
228,2023-11-03,Saúde,Despesa 228 em saúde,45.47,Cartão de Crédito,3500.0,Rio de Janeiro
229,2024-03-30,Moradia,Despesa 229 em moradia,971.63,Transferência,3500.0,Curitiba
230,2024-04-19,Transporte,Despesa 230 em transporte,942.73,Cartão de Crédito,3500.0,Salvador
231,2024-06-18,Saúde,Despesa 231 em saúde,923.82,Transferência,3500.0,Salvador
232,2023-12-20,Alimentação,Despesa 232 em alimentação,202.43,Cartão de Crédito,3500.0,Curitiba
233,2024-09-09,Saúde,Despesa 233 em saúde,1013.07,Transferência,3500.0,Belo Horizonte
234,2023-10-26,Alimentação,Despesa 234 em alimentação,189.14,Transferência,3500.0,Rio de Janeiro
235,2024-08-11,Moradia,Despesa 235 em moradia,92.15,Cartão de Crédito,3500.0,Belo Horizonte
236,2023-10-27,Entretenimento,Despesa 236 em entretenimento,1482.68,Cartão de Crédito,3500.0,Rio de Janeiro
237,2024-06-24,Saúde,Despesa 237 em saúde,155.37,Cartão de Crédito,3500.0,Curitiba
238,2024-07-05,Entretenimento,Despesa 238 em entretenimento,649.39,Cartão de Crédito,3500.0,São Paulo
239,2023-12-01,Entretenimento,Despesa 239 em entretenimento,1367.24,Cartão de Crédito,3500.0,Belo Horizonte
240,2024-05-20,Moradia,Despesa 240 em moradia,1287.16,Dinheiro,3500.0,Curitiba
241,2023-12-23,Alimentação,Despesa 241 em alimentação,674.91,Cartão de Crédito,3500.0,Salvador
242,2024-03-02,Moradia,Despesa 242 em moradia,1491.03,Transferência,3500.0,Salvador
243,2023-10-27,Saúde,Despesa 243 em saúde,926.71,Transferência,3500.0,Belo Horizonte
244,2024-06-25,Entretenimento,Despesa 244 em entretenimento,1088.08,Cartão de Crédito,3500.0,Salvador
245,2024-05-09,Transporte,Despesa 245 em transporte,661.42,Dinheiro,3500.0,Salvador
246,2023-10-24,Moradia,Despesa 246 em moradia,562.35,Cartão de Crédito,3500.0,Curitiba
247,2023-11-22,Alimentação,Despesa 247 em alimentação,863.41,Cartão de Crédito,3500.0,Belo Horizonte
248,2023-12-22,Moradia,Despesa 248 em moradia,313.5,Cartão de Crédito,3500.0,Rio de Janeiro
249,2023-12-07,Entretenimento,Despesa 249 em entretenimento,428.31,Transferência,3500.0,Curitiba
250,2024-10-02,Saúde,Despesa 250 em saúde,1020.2,Dinheiro,3500.0,São Paulo
251,2024-03-17,Moradia,Despesa 251 em moradia,348.28,Transferência,3500.0,Salvador
252,2024-05-10,Entretenimento,Despesa 252 em entretenimento,1219.18,Transferência,3500.0,Curitiba
253,2024-06-19,Entretenimento,Despesa 253 em entretenimento,1311.81,Transferência,3500.0,São Paulo
254,2024-03-01,Moradia,Despesa 254 em moradia,1442.09,Dinheiro,3500.0,Salvador
255,2024-06-06,Entretenimento,Despesa 255 em entretenimento,898.8,Cartão de Crédito,3500.0,Curitiba
256,2024-04-14,Transporte,Despesa 256 em transporte,525.68,Transferência,3500.0,Rio de Janeiro
257,2023-12-29,Alimentação,Despesa 257 em alimentação,1085.03,Transferência,3500.0,São Paulo
258,2024-02-28,Moradia,Despesa 258 em moradia,1345.74,Dinheiro,3500.0,Curitiba
259,2024-10-01,Transporte,Despesa 259 em transporte,658.67,Dinheiro,3500.0,Salvador
260,2024-01-24,Entretenimento,Despesa 260 em entretenimento,891.53,Cartão de Crédito,3500.0,Belo Horizonte
261,2024-09-23,Moradia,Despesa 261 em moradia,986.08,Dinheiro,3500.0,Salvador
262,2024-10-15,Entretenimento,Despesa 262 em entretenimento,307.75,Dinheiro,3500.0,Belo Horizonte
263,2023-12-22,Moradia,Despesa 263 em moradia,1445.67,Cartão de Crédito,3500.0,Rio de Janeiro
264,2023-11-23,Transporte,Despesa 264 em transporte,1175.48,Cartão de Crédito,3500.0,Belo Horizonte
265,2024-05-26,Entretenimento,Despesa 265 em entretenimento,566.36,Cartão de Crédito,3500.0,São Paulo
266,2024-01-23,Moradia,Despesa 266 em moradia,688.09,Cartão de Crédito,3500.0,Rio de Janeiro
267,2024-04-11,Moradia,Despesa 267 em moradia,376.72,Cartão de Crédito,3500.0,Salvador
268,2024-09-04,Saúde,Despesa 268 em saúde,914.7,Dinheiro,3500.0,Belo Horizonte
269,2024-10-06,Moradia,Despesa 269 em moradia,482.46,Transferência,3500.0,São Paulo
270,2024-02-25,Moradia,Despesa 270 em moradia,1324.3,Cartão de Crédito,3500.0,Curitiba
271,2024-08-28,Moradia,Despesa 271 em moradia,35.37,Cartão de Crédito,3500.0,Salvador
272,2024-05-06,Transporte,Despesa 272 em transporte,619.94,Cartão de Crédito,3500.0,Salvador
273,2024-07-14,Alimentação,Despesa 273 em alimentação,1360.5,Cartão de Crédito,3500.0,São Paulo
